0	DUM.HiC_scaffold_1	462066	462066	++	TENT.HiC_scaffold_2	19879531	19879531	+-	SARA.HiC_scaffold_1	166748712	166748712	+-	LIN.HiC_scaffold_8	19386720	19386720	++	
9258	DUM.HiC_scaffold_1	1343884	1353127	++	TENT.HiC_scaffold_2	285855753	285863289	+-	SARA.HiC_scaffold_11	168282244	168291502	+-	LIN.HiC_scaffold_8	123027577	123036084	+-	
2195	DUM.HiC_scaffold_1	1353128	1355321	++	TENT.HiC_scaffold_2	285863290	285865485	+-	SARA.HiC_scaffold_11	168291503	168293032	+-	LIN.HiC_scaffold_12	32077624	32077690	++	
6174	DUM.HiC_scaffold_1	1357503	1362552	++	TENT.HiC_scaffold_2	285867702	285872742	+-	SARA.HiC_scaffold_11	168298817	168303128	+-	LIN.HiC_scaffold_8	123036318	123042492	+-	
19285	DUM.HiC_scaffold_1	1368226	1384070	++	TENT.HiC_scaffold_2	285878680	285897038	+-	SARA.HiC_scaffold_11	168306972	168326257	+-	LIN.HiC_scaffold_8	123047903	123063075	+-	
0	DUM.HiC_scaffold_1	1388730	1388730	++	TENT.HiC_scaffold_2	285901666	285901666	+-	SARA.HiC_scaffold_11	122272302	122272302	+-	LIN.HiC_scaffold_8	88718832	88718832	+-	
1953	DUM.HiC_scaffold_1	1394274	1395954	++	TENT.HiC_scaffold_2	285906697	285908380	+-	SARA.HiC_scaffold_11	168326392	168327881	+-	LIN.HiC_scaffold_8	123067211	123069164	+-	
587	DUM.HiC_scaffold_1	1401331	1401918	++	TENT.HiC_scaffold_2	285909285	285909869	+-	SARA.HiC_scaffold_11	168328391	168328602	+-	LIN.HiC_scaffold_8	123074271	123074447	+-	
2301	DUM.HiC_scaffold_1	1434943	1435838	++	TENT.HiC_scaffold_2	285938437	285940738	+-	SARA.HiC_scaffold_11	168370353	168372551	+-	LIN.HiC_scaffold_8	123116100	123116974	+-	
1	DUM.HiC_scaffold_1	1442667	1442668	++	TENT.HiC_scaffold_2	285947298	285947299	+-	SARA.HiC_scaffold_11	168380402	168380403	+-	LIN.HiC_scaffold_8	123157786	123157787	+-	
826	DUM.HiC_scaffold_1	1443842	1444666	++	TENT.HiC_scaffold_2	285948474	285949300	+-	SARA.HiC_scaffold_1	269068622	269069292	++	LIN.HiC_scaffold_8	40646931	40646954	+-	
7	DUM.HiC_scaffold_1	1445724	1445727	++	TENT.HiC_scaffold_2	285950552	285950555	+-	SARA.HiC_scaffold_1	142549283	142549290	++	LIN.HiC_scaffold_12	50472515	50472518	++	
2	DUM.HiC_scaffold_1	1446858	1446860	++	TENT.HiC_scaffold_2	285951690	285951692	+-	SARA.HiC_scaffold_11	168387105	168387107	+-	LIN.HiC_scaffold_8	9997369	9997371	+-	
